,fourth_downs_rate_awayAvg,def_st_td_homeAvg,def_st_td_awayAvg,def_st_td_opp_awayAvg,def_st_td_opp_homeAvg,score_diff_homeAvg,score_diff_awayAvg,home,away,winner,date
62,0.0,0.0,0.0,0.0,0.0,-4.0,4.0,Cowboys,Giants,0,2002-10-06
63,0.0,0.0,0.0,0.0,0.0,-17.0,17.0,Titans,Washington,0,2002-10-06
64,0.6666666666666666,0.0,0.0,0.0,0.0,7.0,-7.0,Colts,Bengals,1,2002-10-06
65,0.0,0.0,0.0,0.0,0.0,13.0,-13.0,Dolphins,Patriots,1,2002-10-06
66,1.0,0.0,0.0,0.0,0.0,3.0,-3.0,Saints,Steelers,1,2002-10-06
67,0.0,0.0,0.0,0.0,0.0,-3.0,3.0,Panthers,Cardinals,0,2002-10-06
68,0.0,2.0,0.0,2.0,0.0,17.0,-17.0,Broncos,Chargers,1,2002-10-06
69,0.0,0.0,0.0,0.0,0.0,-4.0,4.0,Jets,Chiefs,0,2002-10-06
70,1.0,2.0,0.0,2.0,0.0,24.0,-24.0,49ers,Rams,1,2002-10-06
71,0.75,1.0,0.0,1.0,0.0,3.0,-3.0,Jaguars,Eagles,1,2002-10-06
72,0.0,0.0,0.0,0.0,0.0,-5.0,5.0,Browns,Ravens,0,2002-10-06
73,1.0,0.0,2.0,0.0,2.0,-13.0,13.0,Bears,Packers,0,2002-10-07
74,0.0,0.0,1.0,0.0,1.0,-27.0,27.0,Bengals,Steelers,0,2002-10-13
75,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,Cowboys,Panthers,1,2002-10-13
76,1.0,0.0,0.0,0.0,0.0,2.0,-2.0,Colts,Ravens,1,2002-10-13
77,0.5,0.0,2.0,0.0,2.0,7.0,-7.0,Vikings,Lions,1,2002-10-13
78,1.0,0.0,0.0,0.0,0.0,-18.0,18.0,Patriots,Packers,0,2002-10-13
79,0.0,0.0,0.0,0.0,0.0,-7.0,7.0,Giants,Falcons,0,2002-10-13
80,0.0,0.0,0.0,0.0,0.0,14.0,-14.0,Buccaneers,Browns,1,2002-10-13
81,0.0,2.0,2.0,2.0,2.0,-16.0,16.0,Washington,Saints,0,2002-10-13
82,0.0,0.0,0.0,0.0,0.0,-7.0,7.0,Texans,Bills,0,2002-10-13
83,0.0,0.0,0.0,0.0,0.0,9.0,-9.0,Titans,Jaguars,1,2002-10-13
84,0.0,0.0,0.0,0.0,0.0,15.0,-15.0,Rams,Raiders,1,2002-10-13
